epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0689,1.09616,3.09033,1.31772,0.00363,0.982,0.53894,0.4549,0.53423,2.81197,0.82088,0.00038341,0.00038341,0.00038341
2,22.892,0.60527,1.68191,0.95287,0.00358,0.982,0.63515,0.52579,0.53463,2.76542,0.83617,0.000775733,0.000775733,0.000775733
3,33.5803,0.57031,1.42596,0.93316,0.54944,0.45742,0.54979,0.46857,0.56665,2.28159,0.88617,0.00116014,0.00116014,0.00116014
4,44.4257,0.57287,1.25364,0.93522,0.8167,0.85173,0.88192,0.74562,0.56341,1.52568,0.90079,0.00153662,0.00153662,0.00153662
5,55.5515,0.57896,1.18609,0.94823,0.76685,0.6815,0.62461,0.53784,0.59262,1.95497,0.90018,0.00160099,0.00160099,0.00160099
6,66.5134,0.52812,1.03049,0.92105,0.74648,0.71878,0.77848,0.6777,0.49748,1.46122,0.897,0.00158448,0.00158448,0.00158448
7,77.1258,0.51881,0.98097,0.9262,0.90911,0.92313,0.95439,0.87357,0.42504,0.78637,0.84778,0.00156798,0.00156798,0.00156798
8,87.3718,0.48582,0.93038,0.90229,0.6234,0.88198,0.94664,0.85832,0.44341,1.58425,0.83942,0.00155148,0.00155148,0.00155148
9,97.6175,0.5018,0.86349,0.91008,0.95795,0.91213,0.9702,0.87732,0.42818,0.70531,0.83432,0.00153497,0.00153497,0.00153497
10,108.148,0.46032,0.78188,0.89853,0.96112,0.94061,0.97103,0.89984,0.40697,0.55693,0.8315,0.00151847,0.00151847,0.00151847
11,118.947,0.46938,0.71901,0.89554,0.98507,0.96585,0.97768,0.91132,0.3585,0.49409,0.8194,0.00150197,0.00150197,0.00150197
12,129.823,0.4667,0.6843,0.90578,0.98289,0.97425,0.97607,0.88263,0.44335,0.52264,0.85057,0.00148546,0.00148546,0.00148546
13,140.382,0.46605,0.63633,0.89966,0.98121,0.96429,0.97479,0.90121,0.40229,0.51823,0.83635,0.00146896,0.00146896,0.00146896
14,150.666,0.46484,0.64165,0.91652,0.95577,0.92729,0.96657,0.89672,0.36985,0.48201,0.82282,0.00145246,0.00145246,0.00145246
15,160.929,0.43216,0.62824,0.88904,0.97695,0.94786,0.97388,0.92914,0.32207,0.50026,0.80316,0.00143595,0.00143595,0.00143595
16,171.419,0.44601,0.55509,0.88515,0.93273,0.94369,0.97225,0.90177,0.37035,0.4735,0.81755,0.00141945,0.00141945,0.00141945
17,181.949,0.43469,0.54014,0.89002,0.98592,0.97163,0.96898,0.90968,0.34797,0.37832,0.81849,0.00140295,0.00140295,0.00140295
18,192.425,0.42031,0.51089,0.88474,0.95527,0.93565,0.97097,0.90921,0.35839,0.42662,0.82506,0.00138644,0.00138644,0.00138644
19,202.456,0.42401,0.52544,0.88768,0.98399,0.96492,0.969,0.91184,0.34645,0.42874,0.81132,0.00136994,0.00136994,0.00136994
20,212.7,0.43786,0.53948,0.89876,0.91676,0.9063,0.95776,0.90392,0.3365,0.51556,0.82374,0.00135344,0.00135344,0.00135344
21,222.729,0.45997,0.61803,0.90036,0.98681,0.97018,0.97403,0.92496,0.33579,0.37363,0.81472,0.00133693,0.00133693,0.00133693
22,233.071,0.4215,0.54219,0.8963,0.98856,0.97141,0.97397,0.93986,0.31405,0.35822,0.8134,0.00132043,0.00132043,0.00132043
23,243.182,0.39993,0.50731,0.8915,0.95313,0.93808,0.97389,0.92971,0.31189,0.40829,0.81148,0.00130393,0.00130393,0.00130393
24,253.206,0.37374,0.45808,0.8695,0.98681,0.97015,0.97717,0.94265,0.30902,0.33468,0.80455,0.00128742,0.00128742,0.00128742
25,263.226,0.37443,0.43674,0.86388,0.98099,0.9759,0.97688,0.94634,0.29505,0.31605,0.79948,0.00127092,0.00127092,0.00127092
26,273.51,0.3844,0.46024,0.88137,0.99023,0.97383,0.97404,0.92864,0.31754,0.34854,0.80528,0.00125442,0.00125442,0.00125442
27,283.653,0.3718,0.40233,0.86208,0.98841,0.97187,0.97666,0.94818,0.28101,0.31379,0.79946,0.00123791,0.00123791,0.00123791
28,294.202,0.37107,0.43023,0.86365,0.98738,0.95807,0.97583,0.93985,0.30018,0.32821,0.79679,0.00122141,0.00122141,0.00122141
29,304.839,0.38891,0.44327,0.87201,0.99091,0.97203,0.9807,0.94704,0.28685,0.30195,0.79758,0.00120491,0.00120491,0.00120491
30,315.218,0.39285,0.45478,0.88591,0.9895,0.94535,0.97923,0.93482,0.32271,0.32922,0.807,0.0011884,0.0011884,0.0011884
31,325.436,0.38578,0.39917,0.8584,0.98853,0.97181,0.97854,0.94783,0.27879,0.30194,0.79403,0.0011719,0.0011719,0.0011719
32,335.706,0.38632,0.42537,0.88399,0.98573,0.97127,0.97895,0.94868,0.28561,0.29249,0.79725,0.0011554,0.0011554,0.0011554
33,346.424,0.37466,0.41194,0.87366,0.983,0.96912,0.97747,0.95099,0.27265,0.30479,0.79214,0.00113889,0.00113889,0.00113889
34,357.243,0.34616,0.38796,0.86299,0.98361,0.97433,0.98019,0.95042,0.28651,0.29124,0.79481,0.00112239,0.00112239,0.00112239
35,367.696,0.35266,0.38787,0.85887,0.98631,0.97151,0.97926,0.9491,0.2826,0.2872,0.79286,0.00110589,0.00110589,0.00110589
36,377.848,0.35889,0.37451,0.87073,0.98667,0.97235,0.97747,0.95008,0.29034,0.28294,0.79573,0.00108938,0.00108938,0.00108938
37,387.989,0.36239,0.36006,0.86499,0.98582,0.97191,0.9814,0.9634,0.26419,0.27973,0.79113,0.00107288,0.00107288,0.00107288
38,398.096,0.35173,0.37035,0.86272,0.99343,0.96775,0.9811,0.95752,0.26405,0.27009,0.79088,0.00105638,0.00105638,0.00105638
39,408.528,0.33391,0.34518,0.85657,0.9916,0.97425,0.98111,0.96476,0.23881,0.26088,0.78321,0.00103987,0.00103987,0.00103987
40,419.124,0.33086,0.35631,0.85814,0.99119,0.97425,0.97861,0.96267,0.24522,0.26387,0.78843,0.00102337,0.00102337,0.00102337
41,429.67,0.36037,0.36495,0.8659,0.96419,0.95,0.97507,0.94962,0.25107,0.31111,0.78672,0.00100687,0.00100687,0.00100687
42,440.151,0.33143,0.35868,0.86166,0.99195,0.97803,0.98205,0.9609,0.2603,0.25858,0.79037,0.000990365,0.000990365,0.000990365
43,450.522,0.34799,0.35374,0.85534,0.95492,0.95831,0.98003,0.9678,0.23568,0.29365,0.78258,0.000973861,0.000973861,0.000973861
44,460.78,0.33509,0.32843,0.84693,0.98973,0.96634,0.98157,0.96108,0.27075,0.27227,0.78906,0.000957358,0.000957358,0.000957358
45,471.357,0.33699,0.32874,0.85216,0.98805,0.97418,0.98099,0.96462,0.23828,0.25407,0.78427,0.000940855,0.000940855,0.000940855
46,482.021,0.32693,0.34613,0.85815,0.99139,0.97425,0.98112,0.96373,0.23928,0.25734,0.78739,0.000924352,0.000924352,0.000924352
47,492.373,0.33043,0.32597,0.87277,0.99098,0.97425,0.98,0.96568,0.24674,0.24207,0.78882,0.000907848,0.000907848,0.000907848
48,502.499,0.31581,0.34424,0.85008,0.9736,0.95633,0.97941,0.96613,0.23393,0.27777,0.78308,0.000891345,0.000891345,0.000891345
49,512.646,0.31371,0.33378,0.83741,0.99189,0.97859,0.98117,0.97011,0.23149,0.24607,0.78136,0.000874842,0.000874842,0.000874842
50,522.825,0.32062,0.34169,0.86305,0.99207,0.97622,0.98098,0.96857,0.2313,0.23607,0.78331,0.000858338,0.000858338,0.000858338
51,533.135,0.32321,0.32415,0.85175,0.98694,0.97875,0.9829,0.96623,0.24291,0.23478,0.79003,0.000841835,0.000841835,0.000841835
52,543.378,0.32129,0.31225,0.85493,0.99391,0.97425,0.98255,0.96927,0.24185,0.23392,0.79079,0.000825332,0.000825332,0.000825332
53,553.627,0.32921,0.30848,0.85742,0.99124,0.97425,0.98284,0.9734,0.22643,0.23229,0.78993,0.000808828,0.000808828,0.000808828
54,563.5,0.32472,0.3246,0.85247,0.98943,0.9762,0.98414,0.96853,0.249,0.24755,0.79592,0.000792325,0.000792325,0.000792325
55,573.41,0.32536,0.29908,0.85017,0.99471,0.97414,0.98373,0.97166,0.24025,0.22787,0.78505,0.000775822,0.000775822,0.000775822
56,583.324,0.31951,0.30732,0.84986,0.99105,0.97912,0.98199,0.96744,0.22729,0.22902,0.78246,0.000759318,0.000759318,0.000759318
57,593.296,0.30626,0.29375,0.83774,0.97578,0.96174,0.98361,0.96687,0.2383,0.25642,0.78358,0.000742815,0.000742815,0.000742815
58,603.402,0.30605,0.29673,0.85139,0.99479,0.97882,0.98146,0.96864,0.23046,0.22262,0.78396,0.000726312,0.000726312,0.000726312
59,613.318,0.30269,0.29601,0.85255,0.99225,0.9815,0.9857,0.96435,0.22473,0.2124,0.78031,0.000709809,0.000709809,0.000709809
60,623.278,0.31,0.28598,0.85834,0.99424,0.97938,0.98388,0.97106,0.22083,0.2063,0.77994,0.000693305,0.000693305,0.000693305
61,633.198,0.30548,0.29873,0.85439,0.99372,0.98167,0.9832,0.97022,0.23112,0.21344,0.78218,0.000676802,0.000676802,0.000676802
62,643.335,0.29963,0.26925,0.86397,0.98519,0.97716,0.98738,0.97261,0.21713,0.22361,0.78117,0.000660299,0.000660299,0.000660299
63,653.949,0.29447,0.32456,0.85133,0.98512,0.96845,0.98874,0.97278,0.21615,0.23629,0.78104,0.000643795,0.000643795,0.000643795
64,664.736,0.30217,0.29273,0.85757,0.98317,0.97361,0.98366,0.96805,0.20442,0.23277,0.776,0.000627292,0.000627292,0.000627292
65,675.226,0.30686,0.29445,0.85332,0.99414,0.97523,0.98311,0.96941,0.20281,0.20895,0.77589,0.000610789,0.000610789,0.000610789
66,685.538,0.29768,0.30515,0.84778,0.99099,0.97943,0.98332,0.96809,0.20885,0.21315,0.77844,0.000594286,0.000594286,0.000594286
67,702.577,0.28581,0.28134,0.84697,0.99738,0.97827,0.98879,0.97435,0.21803,0.20232,0.77827,0.000577782,0.000577782,0.000577782
68,745.438,0.29331,0.277,0.84623,0.99466,0.97906,0.9884,0.97095,0.21391,0.2107,0.77806,0.000561279,0.000561279,0.000561279
69,788.314,0.29,0.26762,0.85287,0.9926,0.97795,0.98625,0.97321,0.20636,0.20606,0.77272,0.000544776,0.000544776,0.000544776
70,830.105,0.271,0.25698,0.8385,0.99138,0.97906,0.98773,0.97343,0.20458,0.20707,0.77211,0.000528272,0.000528272,0.000528272
71,850.027,0.29039,0.28661,0.8539,0.99653,0.97478,0.9894,0.97276,0.21117,0.19893,0.77582,0.000511769,0.000511769,0.000511769
72,860.255,0.26416,0.27059,0.83463,0.98078,0.95481,0.9888,0.97741,0.19764,0.22643,0.77696,0.000495266,0.000495266,0.000495266
73,870.247,0.26529,0.26142,0.83669,0.9911,0.9768,0.98839,0.97893,0.19747,0.20291,0.77608,0.000478762,0.000478762,0.000478762
74,880.325,0.26535,0.24686,0.83287,0.99667,0.97962,0.98665,0.97842,0.19243,0.18956,0.7731,0.000462259,0.000462259,0.000462259
75,890.637,0.2788,0.25286,0.8352,0.9969,0.97966,0.98679,0.97589,0.19933,0.18824,0.77251,0.000445756,0.000445756,0.000445756
76,901.138,0.28049,0.27018,0.83715,0.9921,0.9795,0.98776,0.97648,0.18647,0.18412,0.768,0.000429253,0.000429253,0.000429253
77,911.443,0.27505,0.25265,0.85239,0.99654,0.97943,0.98759,0.97813,0.18556,0.1795,0.76946,0.000412749,0.000412749,0.000412749
78,921.358,0.26055,0.24111,0.83804,0.99635,0.97943,0.98798,0.97759,0.19188,0.17444,0.77109,0.000396246,0.000396246,0.000396246
79,931.212,0.25602,0.25514,0.83395,0.99703,0.98168,0.98796,0.9784,0.18836,0.17216,0.7706,0.000379743,0.000379743,0.000379743
80,941.182,0.26018,0.22754,0.84326,0.99918,0.982,0.98991,0.98167,0.17949,0.17255,0.76919,0.000363239,0.000363239,0.000363239
81,951.131,0.25901,0.24693,0.8433,0.99916,0.97993,0.98891,0.9806,0.17254,0.16733,0.7693,0.000346736,0.000346736,0.000346736
82,961.145,0.26753,0.23963,0.84578,0.99698,0.97963,0.98814,0.9819,0.17798,0.16716,0.76815,0.000330233,0.000330233,0.000330233
83,971.148,0.26323,0.2379,0.8436,0.99502,0.97944,0.98782,0.98146,0.18762,0.17992,0.76729,0.000313729,0.000313729,0.000313729
84,981.282,0.25966,0.22475,0.83436,0.99561,0.98169,0.98724,0.98238,0.17755,0.1723,0.76659,0.000297226,0.000297226,0.000297226
85,991.278,0.24499,0.22448,0.84527,0.99643,0.98182,0.98773,0.98213,0.17574,0.16946,0.7656,0.000280723,0.000280723,0.000280723
86,1001.2,0.25358,0.23468,0.83551,0.99649,0.97964,0.98792,0.98066,0.17417,0.17174,0.76554,0.00026422,0.00026422,0.00026422
87,1011.78,0.25416,0.23459,0.8457,0.9947,0.97967,0.9883,0.98007,0.17221,0.16819,0.76656,0.000247716,0.000247716,0.000247716
88,1022.46,0.25414,0.2323,0.83864,0.99579,0.98181,0.9888,0.98303,0.16747,0.16013,0.76587,0.000231213,0.000231213,0.000231213
89,1032.97,0.24464,0.23788,0.84594,0.99879,0.982,0.9889,0.98224,0.16492,0.1576,0.76575,0.00021471,0.00021471,0.00021471
90,1043.27,0.23117,0.21708,0.82217,0.9993,0.982,0.98966,0.98333,0.15981,0.1543,0.7651,0.000198206,0.000198206,0.000198206
91,1053.01,0.18606,0.18038,0.78353,0.99681,0.982,0.98949,0.98342,0.16215,0.15818,0.76584,0.000181703,0.000181703,0.000181703
92,1062.63,0.18714,0.1768,0.76757,0.99677,0.982,0.98938,0.9835,0.16215,0.16089,0.76467,0.0001652,0.0001652,0.0001652
93,1072.72,0.17884,0.17225,0.7818,0.99708,0.982,0.98932,0.98268,0.16764,0.15943,0.76542,0.000148696,0.000148696,0.000148696
94,1082.5,0.18038,0.17078,0.7868,0.99938,0.982,0.99091,0.98274,0.16006,0.15306,0.76504,0.000132193,0.000132193,0.000132193
95,1092.15,0.18077,0.16547,0.77193,0.99962,0.982,0.99233,0.98291,0.16133,0.15389,0.76512,0.00011569,0.00011569,0.00011569
96,1101.7,0.18238,0.16288,0.76924,0.99954,0.982,0.99261,0.98465,0.15541,0.14866,0.76476,9.91865e-05,9.91865e-05,9.91865e-05
97,1111.14,0.1735,0.15797,0.77946,0.99949,0.982,0.99237,0.98392,0.15399,0.14898,0.76361,8.26832e-05,8.26832e-05,8.26832e-05
